question;optionA;optionB;correctAnswer;infoA;infoB
Kumpi joki on pidempi?;Tonava;Reinjoki;A;Tonava on Euroopan toiseksi pisin joki (2 850 km) ja virtaa 10 maan läpi.;Reinjoki on 1 233 km pitkä ja virtaa Alpeista Pohjanmereen.
Kumpi vuoristo on korkeampi?;Pyreneet;Alpit;B;Pyreneiden korkein huippu Aneto on 3 404 metriä.;Alppien korkein huippu Mont Blanc on 4 809 metriä.
Kumpi järvi on suurempi pinta-alaltaan?;Laatokka;Vänern;A;Laatokka on Euroopan suurin järvi (17 700 km²).;Vänern on Länsi-Euroopan suurin järvi (5 655 km²).
Kumpi meri on syvempi?;Välimeri;Itämeri;A;Välimeren syvin kohta on 5 267 metriä.;Itämeren keskisyvyys on vain 55 metriä.
Kumpi vuori on korkeampi?;Matterhorn;Mont Blanc;B;Matterhorn on 4 478 metriä korkea ja tunnettu pyramidimaisesta muodostaan.;Mont Blanc on Alppien ja Euroopan korkein huippu (4 809 m).
Kumpi joki on pidempi?;Volga;Tonava;A;Volga on Euroopan pisin joki (3 531 km) ja laskee Kaspianmereen.;Tonava on Euroopan toiseksi pisin joki (2 850 km).
Kumpi saari on suurempi?;Iso-Britannia;Islanti;A;Iso-Britannia on Euroopan suurin saari (229 848 km²).;Islanti on Euroopan toiseksi suurin saari (103 000 km²).
Kumpi niemimaa on suurempi?;Skandinavian niemimaa;Iberian niemimaa;A;Skandinavian niemimaa on noin 750 000 km².;Iberian niemimaa on noin 582 000 km².
Kumpi järvi on syvempi?;Saimaa;Hornindalsvatnet;B;Saimaan syvin kohta on 82 metriä.;Hornindalsvatnet Norjassa on Euroopan syvin järvi (514 m).
Kumpi vuoristo sijaitsee pohjoisempana?;Alpit;Skandit;B;Skandit ulottuvat Norjassa napapiirin pohjoispuolelle.;Alpit sijaitsevat Keski-Euroopassa 46. leveysasteen tienoilla.
Kumpi joki virtaa Suomen läpi?;Tornionjoki;Kemijoki;B;Tornionjoki muodostaa rajan Suomen ja Ruotsin välille.;Kemijoki on kokonaan Suomen puolella ja Suomen pisin joki (550 km).
Kumpi maa rajoittuu Mustallemerelle?;Romania;Puola;A;Romania on yksi kuudesta Mustallemerelle rajoittuvasta maasta.;Puola rajoittuu Itämereen, ei Mustallemerelle.
Kummassa maassa asuu enemmän ihmisiä?;Ranska;Saksa;B;Ranskassa asuu yli 66 miljoonaa ihmistä.;Saksassa asuu yli 84 miljoonaa ihmistä.
Kumpi salmi yhdistää kaksi merta?;Gibraltarinsalmi;Englannin kanaali;A;Gibraltarinsalmi yhdistää Välimeren ja Atlantin valtameren.;Englannin kanaali on meriväylä Britannian ja Ranskan välillä.
Kummassa maassa asuu enemmän ihmisiä?;Portugali;Hollanti;B;Portugalissa asuu yli 10 miljoonaa ihmistä.;Hollannissa asuu yli 18 miljoonaa ihmistä.
Kummassa maassa asuu enemmän ihmisiä?;Espanja;Italia;B;Espanjassa asuu yli 49 miljoonaa ihmistä.;Italiassa asuu yli 59 miljoonaa ihmistä.
Kumpi vuoristo on vanhempi?;Skandit;Alpit;A;Skandit muodostuivat noin 400 miljoonaa vuotta sitten.;Alpit ovat nuorempia, noin 65 miljoonaa vuotta vanhoja.
